R;L;E;W
60;5;14,81;43,9
120;5;16,1;44,3
180;5;16,1;44,3
240;5;16,88;44,5
300;5;17,92;44,8
60;6;11,69;43
120;6;12,99;43,4
180;6;12,99;43,4
240;6;14,03;43,7
300;6;15,84;44,2
