;Name;MW;D;Kc;roA;roB;ron;roTc;CpA;CpB;CpC;CpD;DH;P01;P02;P03;P04;P05;r;q;a12;a21
1;water;18;2,55E-09;6,00E-01;3,47E-01;2,74E-01;2,86E-01;6,47E+02;9,21E+01;-4,00E-02;-2,11E-04;5,35E-07;9799;29,8605;-3,15E+03;-7,3037;2,42E-09;1,81E-06;9,20E-01;1,40E+00;NA;NA
2;acetone;58;1,14E-09;1,63E-01;2,77E-01;2,58E-01;2,99E-01;5,08E+02;4,69E+01;6,27E-01;-2,08E-03;2,96E-06;7481;28,5884;-2,47E+03;-7,351;2,80E-10;2,74E-06;2,57E+00;2,34E+00;-1,01E+02;5,31E+02
